month,division,line,day_type,num_sched_trains,num_actual_trains,service delivered
2020-05-01,A DIVISION,6,2,1195,1150,96.2343096
2020-05-01,A DIVISION,7,1,1063,1041,97.9303857
2020-05-01,A DIVISION,7,2,1407,1382,98.2231699
2020-05-01,B DIVISION,A,1,1440,1429,99.2361111
2020-05-01,B DIVISION,A,2,1914,1879,98.1713689
2020-05-01,B DIVISION,C,2,1602,1560,97.3782772
2020-05-01,B DIVISION,C,1,1160,1155,99.5689655
2020-05-01,B DIVISION,D,1,1477,1476,99.9322952
2020-05-01,B DIVISION,D,2,1910,1869,97.8534031
2020-05-01,B DIVISION,E,2,640,628,98.125
2020-05-01,B DIVISION,E,1,600,595,99.1666667
2020-05-01,B DIVISION,F,2,1000,992,99.2
2020-05-01,B DIVISION,F,1,1200,1215,101.25
2020-05-01,B DIVISION,G,1,600,600,100
2020-05-01,B DIVISION,G,2,1920,1913,99.6354167
2020-05-01,B DIVISION,JZ,2,895,890,99.4413408
2020-05-01,B DIVISION,JZ,1,700,699,99.8571429
2020-05-01,B DIVISION,L,2,2260,2183,96.5929204
2020-05-01,B DIVISION,L,1,753,755,100.2656042
2020-05-01,B DIVISION,M,1,1200,1195,99.5833333
2020-05-01,B DIVISION,M,2,905,875,96.6850829
2020-05-01,B DIVISION,N,1,1474,1463,99.2537313
2020-05-01,B DIVISION,N,2,1524,1482,97.2440945
2020-05-01,B DIVISION,Q,1,2060,2031,98.592233
2020-05-01,B DIVISION,Q,2,2320,2293,98.8362069
2020-05-01,B DIVISION,R,1,1200,1206,100.5
2020-05-01,B DIVISION,R,2,1600,1564,97.75
2020-05-01,B DIVISION,S Fkln,1,720,713,99.0277778
2020-05-01,B DIVISION,S Fkln,2,880,872,99.0909091
2020-05-01,B DIVISION,S Rock,1,360,360,100
2020-05-01,B DIVISION,S Rock,2,528,530,100.3787879
2020-05-01,Systemwide,Systemwide,1,26026,25831,99.2507493
2020-05-01,Systemwide,Systemwide,2,30958,30226,97.6355062
2020-04-01,A DIVISION,1,1,598,564,94.3143813
2020-04-01,A DIVISION,1,2,480,406,84.5833333
2020-04-01,A DIVISION,2,1,1177,1095,93.0331351
2020-04-01,A DIVISION,2,2,934,692,74.0899358
2020-04-01,A DIVISION,3,1,767,769,100.2607562
2020-04-01,A DIVISION,3,2,640,534,83.4375
2020-04-01,A DIVISION,4,1,1272,1245,97.8773585
2020-04-01,A DIVISION,4,2,954,807,84.591195
2020-04-01,A DIVISION,5,1,780,772,98.974359
2020-04-01,A DIVISION,5,2,640,515,80.46875
2020-04-01,A DIVISION,6,2,478,365,76.3598326
2020-04-01,A DIVISION,6,1,572,577,100.8741259
2020-04-01,A DIVISION,7,1,675,543,80.4444444
2020-04-01,A DIVISION,7,2,688,439,63.8081395
2020-04-01,B DIVISION,A,1,676,660,97.6331361
2020-04-01,B DIVISION,D,1,923,901,97.616468
2020-04-01,B DIVISION,D,2,764,564,73.8219895
2020-04-01,B DIVISION,E,2,320,128,40
2020-04-01,B DIVISION,E,1,390,375,96.1538462
2020-04-01,B DIVISION,F,2,640,513,80.15625
2020-04-01,B DIVISION,F,1,780,769,98.5897436
2020-04-01,B DIVISION,G,2,892,765,85.7623318
2020-04-01,B DIVISION,G,1,495,394,79.5959596
2020-04-01,B DIVISION,JZ,2,358,282,78.7709497
2020-04-01,B DIVISION,JZ,1,455,367,80.6593407
2020-04-01,B DIVISION,L,2,192,189,98.4375
2020-04-01,B DIVISION,L,1,459,456,99.3464052
